uei,start,end,state,location,deaths
UEI-IMD-FL-2017-0042,2017-05-24,2017-05-24,Karnataka,,3.0
UEI-IMD-FL-2017-0043,2017-05-27,2017-05-27,Karnataka,,1.0
UEI-IMD-FL-2017-0104,2017-05-28,2017-05-28,Tamil Nadu,,
UEI-IMD-FL-2017-0090,2017-05-29,2017-05-31,Manipur,,2.0
UEI-IMD-FL-2017-0066,2017-06-03,2017-06-03,Kerala,,
UEI-IMD-FL-2017-0067,2017-06-05,2017-06-05,Kerala,,
UEI-IMD-FL-2017-0022,2017-06-06,2017-06-06,Himachal Pradesh,,8.0
UEI-IMD-FL-2017-0044,2017-06-07,2017-06-07,Karnataka,,1.0
UEI-IMD-FL-2017-0045,2017-06-11,2017-06-12,Karnataka,,1.0
UEI-IMD-FL-2017-0005,2017-06-13,2017-06-15,Assam,,3.0
UEI-IMD-FL-2017-0114,2017-06-15,2017-06-19,Tripura,,
UEI-IMD-FL-2017-0046,2017-06-17,2017-06-17,Karnataka,,
UEI-IMD-FL-2017-0091,2017-06-17,2017-06-17,Meghalaya,,5.0
UEI-IMD-FL-2017-0006,2017-06-18,2017-06-20,Assam,,1.0
UEI-IMD-FL-2017-0023,2017-06-21,2017-06-21,Himachal Pradesh,,2.0
UEI-IMD-FL-2017-0034,2017-06-21,2017-06-21,Jammu & Kashmir,,
UEI-IMD-FL-2017-0047,2017-06-21,2017-06-27,Karnataka,,1.0
UEI-IMD-FL-2017-0079,2017-06-24,2017-06-24,Maharashtra,,2.0
UEI-IMD-FL-2017-0007,2017-06-26,2017-06-28,Assam,,
UEI-IMD-FL-2017-0080,2017-06-26,2017-06-26,Maharashtra,,
UEI-IMD-FL-2017-0024,2017-06-27,2017-06-27,Himachal Pradesh,,
UEI-IMD-FL-2017-0008,2017-07-01,2017-07-07,Assam,,14.0
UEI-IMD-FL-2017-0014,2017-07-01,2017-07-02,Bihar,,
UEI-IMD-FL-2017-0097,2017-07-01,2017-07-01,Rajasthan,,1.0
UEI-IMD-FL-2017-0015,2017-07-05,2017-07-05,Bihar,,
UEI-IMD-FL-2017-0111,2017-07-05,2017-07-05,Telangana,,
UEI-IMD-FL-2017-0116,2017-07-08,2017-07-08,Uttar Pradesh,,2.0
UEI-IMD-FL-2017-0009,2017-07-09,2017-07-13,Assam,,24.0
UEI-IMD-FL-2017-0001,2017-07-11,2017-07-11,Andhra Pradesh,,15.0
UEI-IMD-FL-2017-0016,2017-07-11,2017-07-13,Bihar,,4.0
UEI-IMD-FL-2017-0019,2017-07-11,2017-07-11,Chhattisgarh,,3.0
UEI-IMD-FL-2017-0117,2017-07-11,2017-07-11,Uttar Pradesh,,10.0
UEI-IMD-FL-2017-0025,2017-07-12,2017-07-12,Himachal Pradesh,,1.0
UEI-IMD-FL-2017-0098,2017-07-14,2017-07-14,Rajasthan,,1.0
UEI-IMD-FL-2017-0010,2017-07-15,2017-07-24,Assam,,27.0
UEI-IMD-FL-2017-0094,2017-07-15,2017-07-19,Odisha,,3.0
UEI-IMD-FL-2017-0026,2017-07-16,2017-07-16,Himachal Pradesh,,3.0
